# Game Session ID 
0 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 3 / 5 / 2013    20:34:24 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Throw number 1 of 5
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Ok ball 
 Ball 2 -> Bad ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 12.020000 30.000000 3.500000 	 4.030000 30.000000 3.500000 	 8.000000 30.000000 3.500000 	                    	                    	                    	
 12.000000 29.773062 3.546700 	 4.000000 29.773062 3.535638 	 8.000000 29.773062 3.563718 	                    	                    	                    	
 11.980000 29.546122 3.593199 	 3.970000 29.546122 3.571076 	 8.000000 29.546122 3.627235 	                    	                    	                    	
 11.960000 29.319183 3.639499 	 3.940000 29.319183 3.606314 	 8.000000 29.319183 3.690553 	                    	                    	                    	
 11.940000 29.092243 3.685599 	 3.910000 29.092243 3.641352 	 8.000000 29.092243 3.753671 	                    	                    	                    	
 11.920000 28.865305 3.731498 	 3.880000 28.865305 3.676190 	 8.000000 28.865305 3.816589 	                    	                    	                    	
 11.900000 28.638365 3.777198 	 3.850000 28.638365 3.710828 	 8.000000 28.638365 3.879307 	                    	                    	                    	
 11.880000 28.411427 3.822698 	 3.820000 28.411427 3.745265 	 8.000000 28.411427 3.941824 	                    	                    	                    	
 11.860000 28.184488 3.867997 	 3.790000 28.184488 3.779504 	 8.000000 28.184488 4.004142 	                    	                    	                    	
 11.840000 27.957548 3.913097 	 3.760000 27.957548 3.813541 	 8.000000 27.957548 4.066260 	                    	                    	                    	
 11.820000 27.730610 3.957997 	 3.730000 27.730610 3.847379 	 8.000000 27.730610 4.128178 	                    	                    	                    	
 11.800000 27.503670 4.002697 	 3.700000 27.503670 3.881017 	 8.000000 27.503670 4.189895 	                    	                    	                    	
 11.780000 27.276731 4.047196 	 3.670000 27.276731 3.914455 	 8.000000 27.276731 4.251413 	                    	                    	                    	
 11.760000 27.049793 4.091496 	 3.640000 27.049793 3.947693 	 8.000000 27.049793 4.312731 	                    	                    	                    	
 11.740000 26.822853 4.135596 	 3.610000 26.822853 3.980731 	 8.000000 26.822853 4.373848 	                    	                    	                    	
 11.720000 26.595913 4.179495 	 3.580000 26.595913 4.013569 	 8.000000 26.595913 4.434766 	                    	                    	                    	
 11.700000 26.368975 4.223195 	 3.550000 26.368975 4.046207 	 8.000000 26.368975 4.495484 	                    	                    	                    	
 11.680000 26.142036 4.266695 	 3.520000 26.142036 4.078645 	 8.000000 26.142036 4.556002 	                    	                    	                    	
 11.660000 25.915096 4.309995 	 3.490000 25.915096 4.110883 	 8.000000 25.915096 4.616320 	                    	                    	                    	
 11.640000 25.688156 4.353094 	 3.460000 25.688156 4.142921 	 8.000000 25.688156 4.676437 	                    	                    	                    	
 11.620000 25.461218 4.395994 	 3.430000 25.461218 4.174759 	 8.000000 25.461218 4.736355 	                    	                    	                    	
 11.600000 25.234280 4.438694 	 3.400000 25.234280 4.206397 	 8.000000 25.234280 4.796073 	                    	                    	                    	
 11.580000 25.007339 4.481194 	 3.370000 25.007339 4.237835 	 8.000000 25.007339 4.855591 	                    	                    	                    	
 11.559999 24.780399 4.523493 	 3.340000 24.780399 4.269073 	 8.000000 24.780399 4.914909 	                    	                    	                    	
 11.540000 24.553461 4.565593 	 3.310000 24.553461 4.300111 	 8.000000 24.553461 4.974027 	                    	                    	                    	
 11.520000 24.326523 4.607492 	 3.280000 24.326523 4.330949 	 8.000000 24.326523 5.032944 	                    	                    	                    	
 11.500000 24.099583 4.649192 	 3.250000 24.099583 4.361587 	 8.000000 24.099583 5.091662 	                    	                    	                    	
 11.480000 23.872644 4.690692 	 3.220000 23.872644 4.392025 	 8.000000 23.872644 5.150180 	                    	                    	                    	
 11.460000 23.645706 4.731991 	 3.190000 23.645706 4.422263 	 8.000000 23.645706 5.208498 	                    	                    	                    	
 11.440000 23.418766 4.773091 	 3.160000 23.418766 4.452301 	 8.000000 23.418766 5.266615 	                    	                    	                    	
 11.420000 23.191828 4.813991 	 3.130000 23.191828 4.482138 	 8.000000 23.191828 5.324533 	                    	                    	                    	
 11.400000 22.964890 4.854691 	 3.100000 22.964890 4.511776 	 8.000000 22.964890 5.382250 	                    	                    	                    	
 11.380000 22.737949 4.895190 	 3.070000 22.737949 4.541214 	 8.000000 22.737949 5.439768 	                    	                    	                    	
 11.360000 22.511011 4.935490 	 3.040000 22.511011 4.570452 	 8.000000 22.511011 5.497086 	                    	                    	                    	
 11.340000 22.284073 4.975589 	 3.010000 22.284073 4.599490 	 8.000000 22.284073 5.554204 	                    	                    	                    	
