# Game Session ID 
161 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:43:38 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -7.579998 30.000000 3.500000 	 -4.390001 30.000000 3.500000 	 0.430000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -7.599998 29.894936 3.546700 	 -4.400002 29.894936 3.535638 	 0.400000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -7.619998 29.789871 3.593199 	 -4.410002 29.789871 3.571076 	 0.370000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -7.639998 29.684807 3.639499 	 -4.420002 29.684807 3.606314 	 0.340000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -7.659998 29.579742 3.685599 	 -4.430002 29.579742 3.641352 	 0.310000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -7.679998 29.474678 3.731498 	 -4.440001 29.474678 3.676190 	 0.280000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -7.699998 29.369614 3.777198 	 -4.450002 29.369614 3.710828 	 0.250000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -7.719998 29.264549 3.822698 	 -4.460001 29.264549 3.745265 	 0.220000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -7.739998 29.159485 3.867997 	 -4.470002 29.159485 3.779504 	 0.190000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -7.759998 29.054420 3.913097 	 -4.480001 29.054420 3.813541 	 0.160000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -7.779998 28.949356 3.957997 	 -4.490002 28.949356 3.847379 	 0.130000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -7.799998 28.844292 4.002697 	 -4.500001 28.844292 3.881017 	 0.100000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -7.819998 28.739227 4.047196 	 -4.510002 28.739227 3.914455 	 0.070000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 -7.839998 28.634163 4.091496 	 -4.520001 28.634163 3.947693 	 0.040000 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 -7.859998 28.529099 4.135596 	 -4.530002 28.529099 3.980731 	 0.010000 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 -7.879999 28.424034 4.179495 	 -4.540001 28.424034 4.013569 	 -0.020000 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 -7.899999 28.318970 4.223195 	 -4.550002 28.318970 4.046207 	 -0.050000 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 -7.919999 28.213905 4.266695 	 -4.560001 28.213905 4.078645 	 -0.080000 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 -7.939999 28.108841 4.309995 	 -4.570002 28.108841 4.110883 	 -0.110000 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 -7.959999 28.003777 4.353094 	 -4.580001 28.003777 4.142921 	 -0.140000 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 -7.979999 27.898712 4.395994 	 -4.590002 27.898712 4.174759 	 -0.170000 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 -7.999999 27.793648 4.438694 	 -4.600001 27.793648 4.206397 	 -0.200000 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
